doc_id,empresa,año,confianza,n_frases,lm_negative,lm_positive,lm_uncertainty,lm_litigious,lm_strong_modal,lm_weak_modal,lm_constraining,pct_climate,finbert_pct_positive,finbert_pct_negative,finbert_pct_neutral,finbert_tone,climate_sentiment_neutral,climate_sentiment_opportunity,climate_sentiment_risk,climate_commitment_no,climate_commitment_yes,climate_specificity_non,climate_specificity_spec,esg9_business_ethics_and_values,esg9_climate_change,esg9_community_relations,esg9_corporate_governance,esg9_human_capital,esg9_natural_capital,esg9_non-esg,esg9_pollution_and_waste,esg9_product_liability
E001_STLAM_2022,Stellantis,2022,alta,655,0.009314235,0.011802378,0.0041726627,0.004909297,0.0021758047,0.0011082283,0.005327969,0.47938931297709925,0.22748091603053436,0.0183206106870229,0.7541984732824427,0.20916030534351146,0.6751592356687898,0.27070063694267515,0.054140127388535034,0.6719745222929936,0.32802547770700635,0.7515923566878981,0.2484076433121019,0.06412213740458016,0.216793893129771,0.04885496183206107,0.12366412213740458,0.2381679389312977,0.042748091603053436,0.07938931297709924,0.07786259541984733,0.1083969465648855
E001_STLAM_2023,Stellantis,2023,alta,703,0.009109564,0.011694569,0.004943274,0.005347205,0.0027512482,0.0013876364,0.005578419,0.48364153627311524,0.24182076813655762,0.021337126600284494,0.7368421052631579,0.22048364153627312,0.6470588235294118,0.3029411764705882,0.05,0.6470588235294118,0.35294117647058826,0.7294117647058823,0.27058823529411763,0.06258890469416785,0.22048364153627312,0.04836415362731152,0.13229018492176386,0.22190611664295876,0.04836415362731152,0.08534850640113797,0.07965860597439545,0.10099573257467995
E001_STLAM_2024,Stellantis,2024,alta,1699,0.018867634,0.014039377,0.012673281,0.0065065874,0.0016324864,0.0028480312,0.006138531,0.40612124779281933,0.16009417304296644,0.0594467333725721,0.7804590935844614,0.10064743967039434,0.6797101449275362,0.1565217391304348,0.16376811594202897,0.717391304347826,0.2826086956521739,0.7913043478260869,0.20869565217391303,0.07828134196586227,0.1918775750441436,0.032371983519717484,0.11653914067098294,0.27839905826957034,0.055915244261330196,0.09711595055915244,0.062978222483814,0.08652148322542672
E002_MBG_2022,Mercedes-Benz Group,2022,alta,2473,0.013023443,0.012375217,0.011735901,0.0070872013,0.0020999485,0.0028101979,0.0047425414,0.19773554387383743,0.20865345733926405,0.10998786898503841,0.6813586736756976,0.09866558835422563,0.5194274028629857,0.32515337423312884,0.1554192229038855,0.591002044989775,0.40899795501022496,0.6462167689161554,0.3537832310838446,0.07076425394257986,0.12373635260816822,0.0303275374039628,0.13263243024666396,0.13708046906591184,0.010513546300040437,0.43752527294783666,0.00606550748079256,0.05135463000404367
E002_MBG_2023,Mercedes-Benz Group,2023,alta,1647,0.016257208,0.0128206825,0.01502733,0.008949607,0.0017422352,0.0038156977,0.006582372,0.26836672738312084,0.14207650273224043,0.1177899210686096,0.74013357619915,0.024286581663630832,0.6877828054298643,0.167420814479638,0.14479638009049775,0.7126696832579186,0.2873303167420814,0.6990950226244343,0.3009049773755656,0.09411050394656952,0.1469338190649666,0.020643594414086218,0.18761384335154827,0.1572556162720097,0.024286581663630843,0.2829386763812993,0.024893746205221615,0.06132361870066788
E002_MBG_2024,Mercedes-Benz Group,2024,alta,2468,0.00919128,0.011188639,0.008584425,0.004793078,0.0015422868,0.0018730175,0.0063083824,0.4801458670988655,0.1393841166936791,0.01539708265802269,0.8452188006482982,0.1239870340356564,0.6894514767932489,0.21181434599156118,0.09873417721518987,0.7367088607594937,0.26329113924050634,0.7215189873417721,0.27848101265822783,0.0619935170178282,0.23743922204213938,0.04051863857374392,0.15113452188006482,0.19854132901134522,0.08427876823338736,0.10575364667747164,0.05753646677471637,0.06280388978930308
E003_CON_2022,Continental,2022,alta,365,0.007414304,0.00821293,0.004844998,0.007807604,0.0024678572,0.00047172589,0.0029419595,0.5424657534246575,0.1506849315068493,0.0273972602739726,0.821917808219178,0.1232876712328767,0.8383838383838383,0.15656565656565657,0.005050505050505051,0.7373737373737373,0.26262626262626265,0.7121212121212122,0.2878787878787879,0.057534246575342465,0.29041095890410956,0.01643835616438356,0.21095890410958903,0.19726027397260273,0.038356164383561646,0.11232876712328767,0.03561643835616438,0.0410958904109589
E003_CON_2023,Continental,2023,alta,1623,0.021209214,0.008481258,0.0127942795,0.008160606,0.0015230954,0.0033436357,0.0074723903,0.16081330868761554,0.2341343191620456,0.20147874306839186,0.5643869377695625,0.03265557609365374,0.7816091954022989,0.13026819923371646,0.08812260536398467,0.7931034482758621,0.20689655172413793,0.7049808429118773,0.2950191570881226,0.06038200862600123,0.08379544054220579,0.009858287122612447,0.1392483056069008,0.07085643869377696,0.011090573012939002,0.5693160813308688,0.01170671595810228,0.04374614910659273
E003_CON_2024,Continental,2024,alta,2745,0.013654332,0.008162977,0.008732491,0.006279871,0.0007655801,0.0014963354,0.0045167347,0.3693989071038251,0.05974499089253188,0.03897996357012751,0.9012750455373406,0.020765027322404372,0.7958579881656804,0.06607495069033531,0.13806706114398423,0.8816568047337278,0.11834319526627218,0.7899408284023669,0.21005917159763313,0.06593806921675774,0.17741347905282331,0.023679417122040074,0.21602914389799635,0.21165755919854282,0.03169398907103825,0.12786885245901639,0.07103825136612021,0.07468123861566485
E004_FR_2022,Valeo,2022,alta,2037,0.0116693,0.009927532,0.007244491,0.005029887,0.0026927278,0.0014856927,0.0068310834,0.422680412371134,0.23956799214531174,0.050564555719194895,0.7098674521354934,0.18900343642611683,0.7200929152148664,0.148664343786295,0.13124274099883856,0.667828106852497,0.3321718931475029,0.6341463414634146,0.36585365853658536,0.05351006381934217,0.24104074619538537,0.09425625920471281,0.08738340697103583,0.2709867452135493,0.03240058910162003,0.08345606283750613,0.08345606283750613,0.05351006381934217
